STBIOMSha,Pct_all_returns_above_ht,pct_all_returns_above_mean,all_returns_above_ht_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,Pct_first_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100
76.7261025,37.22,19.86,40.78,28.86,38.99,21.76,28.48,26.34,21.76
72.9206855,36.99,19.42,40.58,28.45,40.38,21.31,28.45,25.93,21.31
28.16997,17.07,9.72,17.75,5.81,17.71,10.11,5.81,5.59,10.11
107.688359,45.39,21.45,52.69,41.39,50.86,24.77,40.85,35.66,24.9
58.5885955,37.94,18.99,44.05,35.28,43.12,21.99,34.77,30.38,22.06
39.586221,19.76,6.65,20.52,8.49,20.37,6.9,8.49,8.17,6.9
103.28989,24.61,14.09,27.65,10.24,21.09,13.68,9.83,9.11,15.83
36.9421975,21.5,10.74,22.4,6.41,22.32,11.19,6.41,6.16,11.19
54.9314415,30.29,14.3,33.28,13.39,32.54,15.52,13.3,12.19,15.7
125.6034715,42.89,23.35,52,22.84,48.66,28.3,22.84,18.85,28.3
46.5792925,32.07,18.53,36.84,12.14,35.71,21.28,12.14,10.57,21.28
138.8482995,52.27,26.76,65.54,34.63,63.78,33.48,34.53,27.62,33.56
82.483649,42.1,22.84,52.06,15.57,48.95,28.12,15.57,12.59,28.24
195.3365025,54.85,29.6,65.48,26.89,60.95,35.16,26.82,22.52,35.34
42.2302445,21.86,13.97,23.5,6.09,22.01,15.02,6.09,5.67,15.02
63.802511,15.55,7.38,16.91,3.63,15.68,7.76,3.63,3.34,8.03
69.238821,18.58,10.87,19.94,2.37,18.62,11.24,2.37,2.21,11.66
141.1710865,38.98,19.14,44.28,35.18,40.4,20.63,32.95,30.97,21.74
67.70677,43.56,20.8,53.77,28.88,51.76,25.41,28.5,23.4,25.67
66.6442185,20.15,9.26,20.87,18.8,20.38,9.38,18.42,18.15,9.59
87.47517,34.81,18.2,38.63,21.58,37.72,20.2,21.58,19.45,20.2
40.821746,18.2,9.15,18.94,4.61,18.75,9.52,4.61,4.43,9.52
169.612872,52.24,26.84,70.74,27.77,64.98,35.48,27.52,20.51,36.34
170.9719495,61.06,33.58,78.95,42.04,75.08,43.37,41.98,32.52,43.42
76.306024,33.02,17.18,37.74,15.89,36.13,19.43,15.68,13.91,19.64
57.377781,42.6,20.13,48.11,34.68,46.9,22.67,34.32,30.71,22.74
150.0668665,45.09,22.58,55.76,37.86,51.67,27.5,36.9,30.61,27.93
83.8427265,38.79,18.59,45.98,33.26,44.85,22,32.86,28.06,22.04
65.779351,33.5,15.5,38,23.8,36.9,17.33,23.35,20.98,17.58
29.603179,17.76,9.89,18.69,8.41,18.14,10.41,8.41,7.99,10.41
48.383159,30.68,14.93,35.17,19.2,33.61,16.9,18.94,16.75,17.12
53.6959165,28.77,12.83,32.1,20.94,31.04,14.18,20.52,18.77,14.31
100.1516565,39.26,21.27,45.83,16.38,43.12,24.72,16.38,14.03,24.83
44.6518735,29.91,14.58,33.77,17.3,33.01,16.46,17.3,15.33,16.46
105.8350715,45.08,19.8,57.8,48.01,56.5,25.25,47.18,37.45,25.39
49.9893415,34.98,16.66,42.36,33.36,40.81,20.09,33,27.55,20.18
49.3962895,32.43,14.97,39.21,24.59,37.12,17.71,23.89,20.34,18.09
130.1007825,51.81,25.06,72.11,51.47,69.5,34.79,51.13,36.98,34.87
87.8458275,40.61,22.98,51.01,30.46,49.3,28.83,30.42,24.25,28.87
39.1661425,25.6,11.72,28.61,23.56,28.34,13.1,23.43,21.08,13.1
100.9918135,48.22,24.01,65.51,31.74,64.47,32.57,31.69,23.37,32.62
97.7794485,42.89,20.94,55.96,31.32,52.11,26.57,30.29,24,27.33
92.7385065,41.38,20,53.09,44.42,48.9,24.07,41.23,34.62,25.67
34.990068,33.06,14.64,41.09,24.54,40.74,18.16,24.47,19.74,18.19
142.1595065,27.15,12.45,31.63,20.84,29.48,13.92,19.59,17.89,14.5
121.3038445,28.71,10.1,35.2,33.91,28.55,9.37,27.91,27.65,12.39
22.9560545,14.7,9.08,15.62,15.43,15.32,9.65,15.14,14.52,9.65
48.630264,18.2,8.89,19.57,16.58,19.25,9.53,16.29,15.42,9.56
9.8594895,6.28,2.73,6.41,8.17,5.74,2.5,7.43,8,2.79
51.150735,26.76,16.8,30.33,14.02,29.1,18.98,13.99,12.37,19.04
13.8131695,17.41,8.38,18.36,14.99,17.54,8.77,14.42,14.21,8.84
4.892679,2.56,2.56,2.56,5.92,2.56,2.56,5.92,5.91,2.56
39.981589,5.3,3.61,5.39,5.37,5.37,3.64,5.34,5.28,3.67
39.3638265,17.85,10.62,19.11,21.32,18.46,11.33,20.54,19.91,11.37
146.730949,44.33,22.35,52.1,37.46,45.4,25.1,34.57,31.87,26.27
100.7447085,25.64,13.8,28.92,20.7,26.05,15.4,19.8,18.35,15.56
38.8201955,24.63,12.26,27.79,12.82,27.16,13.75,12.76,11.36,13.83
24.3892635,17.21,10.06,17.89,14.63,17.69,10.46,14.54,14.07,10.46
8.6733855,6.89,2.78,7.12,4.84,6.62,2.64,4.48,4.68,2.87
83.224964,33.59,17.73,38.34,21.47,36.47,20.08,21.29,18.82,20.24
37.55996,14.18,6.66,14.97,11.83,13.03,6.16,10.42,11.2,7.03
114.261352,46.36,25.69,58.5,28.34,54.42,32.08,28.23,22.46,32.42
107.1200175,52.32,27.22,69.38,37.53,67.05,36.09,37.53,28.3,36.09
