STBIOMSha,Elev_mode,Elev_P01,Elev_P10,Elev_P30,Elev_P60,Elev_stddev,Elev_kurtosis,Elev_MAD_median,Elev_MAD_mode,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_ave,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_AAD,Elev_L2,Elev_P05,Elev_P20,Elev_P25,Elev_P40,Elev_P50,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99
117.770243,7.46,2.39,4.49,8.07,12.93,5.2,2.38,3.77,4.43,0.16,0.23,0.25,0.05,0.07,11.68,27.13,0.44,7.38,0.27,4.29,2.97,3.8,7.03,7.62,10.05,11.53,14.6,15,16.1,19.11,21.17,23.39
206.4068065,22.34,6.19,11.23,15.52,19.16,4.29,2.73,2.95,4.52,-0.29,0.19,0.13,-0.12,0.07,17.42,18.45,0.24,5.89,-0.57,3.51,2.42,9.89,13.78,14.86,16.65,17.82,20.21,20.75,21.49,22.62,23.16,24.13
161.063039,15.2,3.12,9.51,13.89,17.32,4.52,2.92,3.16,3.32,-0.23,0.26,0.16,-0.09,0.1,15.92,20.51,0.28,6.31,-0.5,3.61,2.55,8.21,12,12.96,15.34,16.12,18.68,19.28,20.27,21.67,22.53,23.67
225.755128,14.86,4.6,9.83,13.81,16.03,3.58,3.8,2.02,2.16,-0.31,0.32,0.13,-0.16,0.16,14.81,12.84,0.24,4.04,-0.89,2.71,1.95,7.43,12.4,13.25,14.69,15.27,16.84,17.29,17.72,18.89,19.75,20.91
197.5604475,6.66,3.4,6.23,8.95,13.93,7.3,1.82,5.29,5.53,0.56,-0.01,0.28,0.13,-0.004722,14.31,53.43,0.51,12.71,0.43,6.41,4.13,4.91,7.49,8.35,10.28,12.19,19.62,21.07,22.91,25.31,26.89,27.86
188.8129305,22.74,4.95,8.08,12.09,17.2,5.7,1.89,4.87,7.83,-0.02,0.04,0.2,-0.007099,0.01,15.65,32.54,0.36,9.62,-0.03,4.92,3.27,5.89,10.54,11.39,13.45,14.91,20.26,21.02,21.92,23.33,24.07,25.1
166.449928,4.47,2.22,3.89,5.94,15.56,8.2,1.64,7.94,9.41,0.42,-0.23,0.35,0.09,-0.04,13.35,67.25,0.61,15.52,0.25,7.33,4.67,2.83,4.75,5.22,8.51,13.89,19.47,20.75,21.82,25.65,26.82,27.53
465.496399,25.91,4.55,10.25,15.5,21.2,6.2,2.25,5.05,6.44,-0.36,0.13,0.18,-0.1,0.03,18.78,38.44,0.33,10.53,-0.42,5.22,3.53,7.75,12.82,13.76,17.5,19.47,23.72,24.29,25.02,26.17,27.29,28.39
72.9206855,6.45,2.42,4.02,5.96,8.35,3.58,2.6,2.32,2.25,0.3,0.17,0.24,0.15,0.08,8.15,12.82,0.43,5.26,0.61,2.97,2.01,3.23,5.09,5.52,6.61,7.19,9.78,10.78,11.53,13.48,14.79,17.09
48.630264,7.68,2.31,3.92,6.34,9.49,3.28,2.13,2.4,2.56,0.01,0.11,0.22,0.005488,0.06,8.42,10.77,0.38,4.8,0.02,2.73,1.88,2.76,5.34,5.79,7.62,8.34,10.29,10.59,11.21,13.19,13.93,14.44
170.848397,8.38,3.26,6.64,8.18,10.14,4.66,3.67,2.03,1.74,0.67,0.42,0.22,0.27,0.17,10.89,21.78,0.42,4.84,1.16,3.6,2.45,5.93,7.47,7.86,8.74,9.38,11.88,12.69,13.72,19.29,21.82,23.34
148.065316,16.62,3.86,7.63,11.99,15.99,4.46,2.43,3.18,3.42,-0.18,0.2,0.17,-0.07,0.08,14.18,19.98,0.31,6.32,-0.32,3.7,2.54,6.18,10.35,11.21,13.03,14.58,16.94,17.54,18.34,19.79,20.98,22.21
149.5232355,8.75,2.34,3.91,7.56,10.18,6.59,2.85,2.59,2.67,0.84,0.48,0.31,0.24,0.13,11.15,43.46,0.59,5.59,0.95,5.15,3.53,2.97,6.31,7.01,8.5,9.11,11.58,12.6,17.23,22.66,25.09,26.27
95.6049245,7.11,3.29,5.78,7.71,10.24,2.8,2.34,2.06,2.69,-0.00178,0.11,0.17,-0.001109,0.07,9.39,7.86,0.29,4.23,-0.03,2.34,1.6,4.68,7.09,7.36,8.42,9.2,11.19,11.6,12.03,13.16,13.84,15.15
285.900485,15.89,3.58,8.3,12.83,17.14,5.05,2.41,3.75,3.74,-0.27,0.21,0.18,-0.09,0.07,15.37,25.6,0.32,7.52,-0.41,4.15,2.87,5.91,10.78,11.8,14.65,15.96,18.53,19.32,20.19,21.75,22.76,23.72
147.6946585,11.15,5.49,8.27,11.07,12.66,2.56,3.06,1.63,1.77,-0.09,0.2,0.11,-0.06,0.14,11.99,6.57,0.21,3.25,-0.34,1.99,1.43,7.18,10.08,10.65,11.52,12.08,13.42,13.9,14.24,14.94,16.04,17.62
312.983193,12.81,3.93,9.01,11.83,15.11,4.31,2.63,3,2.9,0.03,0.24,0.17,0.01,0.09,14.3,18.59,0.3,6.25,-0.01,3.5,2.44,7.25,10.79,11.43,12.92,14.01,16.69,17.68,18.41,20.14,21.38,23.42
70.375504,7.4,2.73,3.98,6.16,9.74,3.47,1.94,2.87,2.81,0.07,0.04,0.23,0.03,0.02,8.64,12.08,0.4,5.69,0.14,2.97,2,3.49,5.17,5.59,7.4,8.71,10.69,11.27,12.08,13.7,14.42,15.35
36.5468295,3.98,2.38,3.32,5.16,7.99,4.33,2.5,2.72,3.01,0.49,0.15,0.29,0.2,0.06,8.09,18.77,0.53,6.06,0.77,3.54,2.4,2.95,4.17,4.47,6.01,7,9.28,10.54,12.61,15.34,16.52,18.38
91.2558765,12.85,2.45,5.32,8.43,13.03,4.26,1.99,3.63,3.37,-0.22,0.04,0.21,-0.09,0.01,11.33,18.2,0.37,7.29,-0.32,3.65,2.44,3.74,7,7.81,10.51,12.1,14.45,15.1,15.69,16.64,17.12,17.86
