"ID","PLOT_ID","X_albers","Y_albers","Site","Forest","fpcAcres","fpcStrataHa","fpc04StrataHaPlot","ForestHaSize","ForestHaSmplSize","dbhThreshcm","PlotSizeAcres","PlotSize","Elev_Class","CC_Class","Stratum","DOM_TYPE","Dom_Type_Label","Secondary_Label","STBIOMSha","logSTBIOMSha","Elev_stddev","Elev_kurtosis","Elev_skewness","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P05","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","R3ERUCODE","elevation","aspect","slope","NDVI_Amp","R3ERUcodeFull","R3ERUlabel","R3ERUlabelName"
2420,"0312040000730005_0002",-1387436.908,-233479.3199,"fourFri, P1","Tonto",38.12632875,15.4291914765225,385.729786913062,49900,4800,12.7,0.1,"1/10 Acre",79,999,"Ton_79","PIPO","update","update",144.655267,4.97435344278828,3.59,4.34,-0.96,2.14,2.09,1.95,-0.31,0.32,0.12,-0.15,0.16,18.03,4.41,8.95,11.43,14.58,17.25,19.87,51.32,64.54,29.86,20.14,925.2996,363.1242,226.3212,586.5876,748.2456,885.27,1019.7284,2.89203703721523,1.48387468945875,2.43624147780672,2.67965072658051,2.84781214347737,2.98921105656373,148.419340749885,58.2456259295146,76.1524490630233,125.027912641041,137.519675288112,146.149719203259,153.40631142285,"PPE",1810.3021,179,17,0.044157263,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2432,"0312040000730006_0010",-1387490.292,-232450.5709,"fourFri, P1","Tonto",135.29645,54.7525791647,1368.8144791175,49900,4800,12.7,0.05,"1/20 Acre",80,999,"Ton_80","QUEM","update","update",49.816368,3.90834360472771,0.71,3.52,1.09,0.41,0.55,0.38,0.09,0.04,0.13,0.25,0.11,2.11,2.02,2.08,2.13,2.4,2.82,4,10.85,10.93,12.34,31.08,22.8935,65.5788,21.917,23.1105,26.04,30.597,43.4,0.746687947487975,0.703097511413113,0.756121979721334,0.8754687373539,1.03673688495002,1.38629436111989,8.10156423024453,23.2070614079263,7.62860799883228,8.20392347997647,9.49883580028981,11.2485952017077,15.0412938181508,"PPE",1928.4214,255,4,0.038022489,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2444,"0312040000730037_0003",-1387772.597,-232485.2037,"fourFri, P1","Tonto",29.90786441,12.1032940166253,302.582350415631,49900,4800,12.7,0.05,"1/20 Acre",83,999,"Ton_83","PSME","update","update",65.8040615,4.18668156135038,5,1.93,0.28,4.23,6.81,2.86,0.22,0.007239,0.3,0.07,0.002523,2.59,2.15,2.67,3.06,5.58,11.13,16.57,38.67,45.95,21.12,48.61,100.1553,125.8999,83.1405,118.3302,215.7786,430.3971,640.7619,0.951657875711446,0.765467842139571,1.11841491596429,1.71918877639322,2.40964416528745,2.80759383143847,36.8006100537616,46.2600893383334,29.6006414555372,43.2491048003391,66.4810299831258,93.1809398716658,108.569653461726,"PPE",1875.621,119,9,0.039235177,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2445,"0312040000730037_0004",-1387959.516,-232454.2418,"fourFri, P1","Tonto",29.90786441,12.1032940166253,302.582350415631,49900,4800,12.7,0.05,"1/20 Acre",83,999,"Ton_83","PIPO_PSME","update","update",140.4791925,4.94505938172108,4.51,1.98,-0.02,3.73,3.43,2.59,-0.03,0.06,0.23,-0.01,0.02,12.94,3.15,4.4,5,8.03,13.05,17.04,46.04,57.94,24.81,24.16,595.7576,312.6304,145.026,230.2,369.7012,600.822,784.5216,2.56032328907275,1.14740245283754,1.6094379124341,2.08318452795867,2.5687881337687,2.83556352140117,117.87728422891,61.8574106639977,52.8264089286404,74.098521488466,95.9098156672172,118.267005678711,130.54934452531,"PPE",1909.3636,341,12,0.031470429,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2448,"0312040000730049_0003",-1387868.51,-233794.6509,"fourFri, P1","Tonto",55.45183992,22.4405832898651,561.014582246628,49900,4800,12.7,0.05,"1/20 Acre",84,999,"Ton_84","JUDE2_QUEM","update","update",92.960901,4.53217898539742,2.33,2.7,0.41,1.8,1.74,1.32,0.09,0.1,0.23,0.07,0.07,5.83,2.07,2.29,2.55,4.17,6.13,8.63,39.76,47.78,24.06,27.06,231.8008,157.7598,82.3032,101.388,165.7992,243.7288,343.1288,1.7630170003624,0.727548607277278,0.936093359170335,1.42791603581071,1.81319474994812,2.15524450509534,70.0975559344091,47.7072400298066,28.9273326253446,37.2190719606125,56.7739415838338,72.0926232579372,85.6925215225906,"PPE",1788.7053,81,17,0.04626881,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2451,"0312040000740004_0001",-1391525.376,-236587.6077,"fourFri, P1","Tonto",33.59318716,13.5946925390318,339.867313475794,49900,4800,12.7,0.05,"1/20 Acre",85,999,"Ton_85","PIPO_QUAR","update","update",91.7500865,4.51906842971353,4.52,1.72,0.04,3.89,7.24,2.6,0.03,-0.04,0.29,0.01,-0.01,2.28,2.12,2.36,2.65,5.55,10.85,15.09,33.5,40.43,20.43,45.19,76.38,103.0332,71.02,88.775,185.925,363.475,505.515,0.824175442966349,0.751416088683921,0.974559639998131,1.71379792775834,2.38416507998647,2.71403227277976,27.6098773393727,37.2444882676493,25.1724389709114,32.6477479399374,57.4122305799045,79.8695301795467,90.9200811381219,"PPE",1710.3707,260,4,0.03968697,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2464,"0312040000740007_0006",-1390241.585,-236991.6025,"fourFri, P1","Tonto",95.41216906,38.6119690482152,965.299226205379,49900,4800,12.7,0.1,"1/10 Acre",87,999,"Ton_87","TEIX","update","update",74.576289,4.31182261486424,4.87,6.19,1.61,2.42,2.51,2.49,0.6,0.52,0.27,0.24,0.21,6.39,2.19,3.04,4.11,6.25,9.01,13.72,40.99,51.04,17.56,36.57,261.9261,233.6823,89.7681,168.4689,256.1875,369.3199,562.3828,1.85473426838944,0.783901543828409,1.41342302850814,1.83258146374831,2.19833507162025,2.61885462229774,76.0255576612833,67.827632195002,32.1321242815265,57.9362099385488,75.1175141990432,90.1097545857139,107.346850967984,"PPE",1650.2675,172,12,0.031583178,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2469,"0312040000750006_0003",-1391882.122,-236512.2914,"fourFri, P1","Tonto",116.9115905,47.312483913083,1182.81209782707,49900,4800,12.7,0.1,"1/10 Acre",88,999,"Ton_88","PIPO","update","update",138.6011945,4.93160070504478,6.02,2.56,-0.84,3.25,3.18,3.29,-0.75,0.28,0.2,-0.22,0.08,18.1,2.78,4.22,5.1,14.33,18.95,22.48,42.99,55.67,28.09,27.83,778.119,503.723,119.5122,219.249,616.0467,814.6605,966.4152,2.89591193827178,1.02245092770255,1.62924053973028,2.66235524184008,2.94180393152844,3.11262602502549,124.495254226304,80.5932292421036,43.9551653819324,70.0410508030047,114.454651846705,126.468151016407,133.811792815846,"PPE",1699.424,72,6,0.037758137,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2470,"0312040000750006_0004",-1391829.023,-236274.347,"fourFri, P1","Tonto",116.9115905,47.312483913083,1182.81209782707,49900,4800,12.7,0.1,"1/10 Acre",88,999,"Ton_88","PIPO","update","update",137.5633535,4.92408456371995,5.74,2.01,-0.14,4.27,4.28,3.29,-0.14,0.12,0.24,-0.04,0.03,15.8,2.48,3.68,4.7,9.78,15.71,20.3,43.88,58.62,23.93,23.51,693.304,371.458,108.8224,206.236,429.1464,689.3548,890.764,2.76000994003292,0.908258560176891,1.54756250871601,2.28033948404673,2.75429745226753,3.01062088604774,121.109236168645,64.887833690174,39.854385620562,67.9070428824587,100.06129655997,120.858572205499,132.106044479775,"PPE",1695.5486,84,1,0.043619783,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2476,"0312040000750006_0010",-1391370.364,-236099.6611,"fourFri, P1","Tonto",116.9115905,47.312483913083,1182.81209782707,49900,4800,12.7,0.1,"1/10 Acre",88,999,"Ton_88","PIPO","update","update",185.526434,5.22319737324285,5.16,4.23,-1.16,2.94,2.71,2.77,-0.61,0.43,0.14,-0.22,0.15,21.93,2.53,8.44,11.59,17.31,21.07,24.29,49.98,68.03,30.74,21.99,1096.0614,482.2407,126.4494,579.2682,865.1538,1053.0786,1214.0142,3.0878555624298,0.928219302739429,2.45014265735166,2.85128436918812,3.0478502278161,3.19006474301408,154.331021010241,67.9019438178312,46.3924007509167,122.458130014436,142.507192772022,152.331554386249,159.439435855844,"PPE",1694.8342,187,1,0.053773454,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2477,"0312040000750006_0011",-1391187.154,-236178.2621,"fourFri, P1","Tonto",116.9115905,47.312483913083,1182.81209782707,49900,4800,12.7,0.1,"1/10 Acre",88,999,"Ton_88","PIPO_QUAR","update","update",161.458407,5.08424756769746,5.56,1.85,0.14,5.09,6.15,3.2,0.12,0.001902,0.29,0.04,0.000593,5.02,2.31,2.92,3.54,6.35,12.75,18.8,44.43,57.24,24.01,48.68,223.0386,244.3736,102.6333,157.2822,282.1305,566.4825,835.284,1.61342993370364,0.837247524533702,1.26412672714568,1.8484548129046,2.54553127160444,2.9338568698359,71.6846919544526,78.5417691726931,37.1989075150324,56.1651504870827,82.1268473373514,113.097954397385,130.351260726809,"PPE",1695.9233,130,4,0.045807824,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2478,"0312040000750035_0001",-1391010.279,-236260.7682,"fourFri, P1","Tonto",64.35090008,26.0419083497749,651.047708744372,49900,4800,12.7,0.1,"1/10 Acre",89,999,"Ton_89","PIPO","update","update",68.2751115,4.22354530045986,4.63,2.97,-0.68,2.84,2.79,2.57,-0.36,0.34,0.18,-0.14,0.13,15.27,2.52,3.98,5.91,12.08,15.43,18.95,30.21,36.15,17.35,15.52,461.3067,236.9904,76.1292,178.5411,364.9368,466.1403,572.4795,2.72589011923054,0.924258901523332,1.77664583141801,2.49155119250667,2.73631366637507,2.94180393152844,82.3491405019547,42.305814650458,27.9218614150199,53.672470567138,75.2697615256265,82.6640358611909,88.871896771474,"PPE",1686.222,231,6,0.043642264,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2480,"0312040000750035_0003",-1390925.73,-236108.5012,"fourFri, P1","Tonto",64.35090008,26.0419083497749,651.047708744372,49900,4800,12.7,0.1,"1/10 Acre",89,999,"Ton_89","PIPO","update","update",107.292991,4.67556332597468,4.82,2.83,-0.25,2.85,3.51,2.71,-0.15,0.39,0.19,-0.05,0.14,12.37,2.92,4.83,6.75,12.04,15.36,19.75,43.89,56.98,23.53,38.81,542.9193,480.0797,128.1588,296.2575,528.4356,674.1504,866.8275,2.5152741864044,1.07158361628019,1.90954250488444,2.48823443988067,2.73176672771953,2.98315349134713,110.395384041289,97.6177911743546,47.0318049185376,83.809820539378,109.208609566363,119.89724167961,130.930606735226,"PPE",1695.2909,92,1,0.052092277,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2485,"0312040000760008_0003",-1389688.956,-233937.336,"fourFri, P1","Tonto",47.92778008,19.3957016094549,484.892540236372,49900,4800,12.7,0.05,"1/20 Acre",90,999,"Ton_90","TEDX","update","update",46.109793,3.83102535694374,3.67,4.18,1.06,2.4,3.25,2,0.39,0.22,0.28,0.19,0.11,2.92,2.09,2.49,2.82,4.56,7.34,11.72,44.78,50.57,22.08,51.05,130.7576,149.066,93.5902,126.2796,204.1968,328.6852,524.8216,1.07158361628019,0.73716406597672,1.03673688495002,1.51732262352629,1.99333884262642,2.46129678414887,47.9855143370269,54.7043436111037,33.0102068744375,46.425077708062,67.9457070815075,89.2617133728113,110.216869994186,"PPE",1781.6505,71,14,0.050339785,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2486,"0312040000760008_0004",-1389734.289,-233692.2666,"fourFri, P1","Tonto",47.92778008,19.3957016094549,484.892540236372,49900,4800,12.7,0.05,"1/20 Acre",90,999,"Ton_90","PIPO","update","update",123.4289475,4.8156656666191,5.57,2.59,-0.83,3.32,3.81,3.05,-0.65,0.25,0.21,-0.21,0.08,14.93,2.36,3.34,4.41,13.16,17.04,20.38,56.1,77.93,36.67,48.39,837.573,722.4627,132.396,247.401,738.276,955.944,1143.318,2.7033726115511,0.858661619037519,1.48387468945875,2.57718192589717,2.83556352140117,3.01455402779458,151.659203508017,130.816200672958,48.1709168280048,83.2453700786361,144.579906042831,159.075113550606,169.116480959276,"PPE",1819.943,237,23,0.04072171,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2490,"0312040000760034_0003",-1389222.539,-235404.1512,"fourFri, P1","Tonto",116.5681683,47.1735057566538,1179.33764391634,49900,4800,12.7,0.0333333,"1/30 Acre",91,999,"Ton_91","TEIX","update","update",196.4237645,5.28027438910956,4.53,1.74,0.24,4.01,5.61,2.59,0.19,-0.04,0.31,0.07,-0.01,2.01,2.02,2.12,2.42,4.78,8.74,14.76,42.17,59.47,21.3,68.85,84.7617,138.3885,85.1834,102.0514,201.5726,368.5658,622.4292,0.698134722070984,0.703097511413113,0.883767540168595,1.56444054650336,2.16791018966744,2.69192081917233,29.4403412297334,48.0665756145873,29.649622056291,37.2684771689097,65.9724578460469,91.4207726982761,113.518300944497,"PPE",1693.0615,81,16,0.039064305,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2495,"0312040000760034_0008",-1389293.924,-234334.5315,"fourFri, P1","Tonto",116.5681683,47.1735057566538,1179.33764391634,49900,4800,12.7,0.0333333,"1/30 Acre",91,999,"Ton_91","PIPO_QUAR","update","update",192.544216,5.26032582085882,5.49,2.02,-0.65,3.08,2.55,3.04,-0.61,0.04,0.24,-0.2,0.01,16.11,2.28,2.71,3.35,10.26,15.77,18.42,57.34,80.25,38.17,30.7,923.7474,494.577,130.7352,192.089,588.3084,904.2518,1056.2028,2.77944019718888,0.824175442966349,1.20896034583698,2.32825283974262,2.75810940097495,2.91343703082716,159.373100906811,85.3288140536987,47.2582198996905,69.3217862302922,133.502017830842,158.149993051903,167.056479347629,"PPE",1765.4829,230,13,0.046533726,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2496,"0312040000760034_0009",-1389528.332,-234285.292,"fourFri, P1","Tonto",116.5681683,47.1735057566538,1179.33764391634,49900,4800,12.7,0.0333333,"1/30 Acre",91,999,"Ton_91","TEIX","update","update",142.727848,4.96093965610911,5.52,1.91,0.52,3.91,4.93,3.11,0.51,-0.02,0.33,0.16,-0.008277,2.63,2.15,2.74,3.18,5.16,9.66,17.88,53.25,77.99,24.4,82.07,140.0475,215.8441,114.4875,169.335,274.77,514.395,952.11,0.966983846189673,0.765467842139571,1.15688119679209,1.64093657949347,2.26799364822443,2.88368276974537,51.4918898096001,79.3603642567865,40.7611625939322,61.6039237291786,87.3798728580274,120.770661767951,153.556107488941,"PPE",1768.0798,74,17,0.045518195,"Ponderosa pine, evergreen oak","G","G. Ponderosa pine"
2500,"0312040000780010_0003",-1385684.355,-234897.1107,"fourFri, P1","Tonto",75.77870332,30.6665803317575,766.664508293938,49900,4800,12.7,0.0333333,"1/30 Acre",92,999,"Ton_92","PIPO","update","update",360.625037,5.88783873986201,6.48,2.7,-0.91,3.74,3.25,3.53,-0.87,0.27,0.18,-0.24,0.07,23.59,3.1,5.53,7.14,17.04,22.03,25.23,63.2,95.43,39.93,25.58,1490.888,603.4322,195.92,451.248,1076.928,1392.296,1594.536,3.16082289341958,1.1314021114911,1.96571277635149,2.83556352140117,3.09240516081425,3.22803376265297,199.764006864118,80.8538496136729,71.5046134462376,124.233047465414,179.207614552554,195.440006163461,204.011733799667,"MCD",1774.5746,314,12,0.006582675,"Mixed conifer, freq. fire","F","F. mixed conifer"
2501,"0312040000780010_0004",-1385570.115,-234754.2976,"fourFri, P1","Tonto",75.77870332,30.6665803317575,766.664508293938,49900,4800,12.7,0.0333333,"1/30 Acre",92,999,"Ton_92","TEIX","update","update",47.888949,3.86888476798716,2.57,3.25,1.12,1.11,0.93,1.36,0.41,0.14,0.27,0.3,0.1,3.4,2.06,2.29,2.5,3.26,4.37,8.98,16.62,17.76,6.8,15.62,56.508,53.108,34.2372,41.55,54.1812,72.6294,149.2476,1.22377543162212,0.72270598280149,0.916290731874155,1.18172719537862,1.4747630091075,2.19499988231411,20.3391476735596,19.1153722419374,12.0113734341608,15.2287519637485,19.6403059871926,24.5105612113666,36.4808980440605,"MCD",1766.0103,305,15,0.025853311,"Mixed conifer, freq. fire","F","F. mixed conifer"
2503,"0312040000780010_0006",-1385216.059,-234566.4218,"fourFri, P1","Tonto",75.77870332,30.6665803317575,766.664508293938,49900,4800,12.7,0.0333333,"1/30 Acre",92,999,"Ton_92","QUEM","update","update",76.948497,4.34313632793039,2.69,5.03,1.58,1.15,1.11,1.36,0.45,0.26,0.27,0.33,0.19,3.71,2.04,2.2,2.39,3.31,4.55,8.63,31.56,36.78,13.43,28.84,117.0876,106.9964,64.3824,75.4284,104.4636,143.598,272.3628,1.31103187661934,0.712949807856125,0.871293365943419,1.19694818938897,1.51512723296286,2.15524450509534,41.3761660261065,37.8101593217019,22.5006959359393,27.4980186291743,37.7756848571159,47.8174154723078,68.0195165808088,"MCD",1805.2642,297,12,0.032373511,"Mixed conifer, freq. fire","F","F. mixed conifer"
