"ID","PLOT_ID","X_albers","Y_albers","Site","Forest","fpcAcres","fpcStrataHa","fpc04StrataHaPlot","ForestHaSize","ForestHaSmplSize","dbhThreshcm","PlotSizeAcres","PlotSize","Elev_Class","CC_Class","Stratum","DOM_TYPE","Dom_Type_Label","Secondary_Label","STBIOMSha","logSTBIOMSha","Elev_stddev","Elev_kurtosis","Elev_skewness","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P05","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","R3ERUCODE","elevation","aspect","slope","NDVI_Amp","R3ERUcodeFull","R3ERUlabel","R3ERUlabelName"
170,"0304070005950019_0006",-1380338.559,-200851.9803,"fourFri, P1","Coconino",124.2792374,50.2940674664564,1257.35168666141,113600,7500,12.7,0.05,"1/20 Acre",4,999,"Coco4","PIPO","update","update",87.376328,4.47022439929398,4.12,2.03,0.4,3.22,2.96,2.35,0.27,0.02,0.28,0.11,0.01,5.93,2.15,2.67,3.07,5.05,9.5,14.19,51.07,60.4,24.9,40.55,302.8451,240.4615,109.8005,156.7849,257.9035,485.165,724.6833,1.78002421300963,0.765467842139571,1.12167756159911,1.61938824328727,2.2512917986065,2.65253749117195,90.905836558402,72.1799818375407,39.0924426980679,57.2840730708663,82.7021575846808,114.973472154834,135.465089674152,"PPF",2114.979,324,12,0.104753114,"Ponderosa pine","G","G. Ponderosa pine"
171,"0304070005950019_0007",-1380198.676,-200712.1265,"fourFri, P1","Coconino",124.2792374,50.2940674664564,1257.35168666141,113600,7500,12.7,0.05,"1/20 Acre",4,999,"Coco4","PIPO","update","update",140.306219,4.94382731256936,5.48,2.8,0.93,2.84,2.74,2.98,0.72,0.3,0.31,0.24,0.1,7.1,2.42,3.06,3.92,6.02,8.94,19.09,51.61,66.09,19.57,40.3,366.431,286.13,124.8962,202.3112,310.6922,461.3934,985.2349,1.96009478404727,0.883767540168595,1.36609165380237,1.79508725932073,2.19053558918542,2.94916463773766,101.16049180468,78.991819797105,45.6112427481012,70.5039902527404,92.6444534535429,113.05354175786,152.20638695364,"PPF",2107.5696,320,10,0.10077249,"Ponderosa pine","G","G. Ponderosa pine"
172,"0304070005950019_0008",-1379997.793,-200568.6342,"fourFri, P1","Coconino",124.2792374,50.2940674664564,1257.35168666141,113600,7500,12.7,0.05,"1/20 Acre",4,999,"Coco4","PIPO_QUGA","update","update",77.986338,4.35653365750221,2.36,2.4,-0.42,1.77,2.27,1.34,-0.13,0.09,0.17,-0.09,0.06,10.27,2.46,3.32,4.53,6.77,8.74,10.69,35.01,43.39,19.36,8.25,359.5527,84.7275,86.1246,158.5953,237.0177,305.9874,374.2569,2.32922702394047,0.900161349944271,1.51072193949494,1.91250108692418,2.16791018966744,2.36930872503695,81.5462381081557,19.2161229475089,31.5146488615489,52.8903751017179,66.9566630532157,75.8985357402572,82.9494984635437,"PPF",2093.6482,359,6,0.044296768,"Ponderosa pine","G","G. Ponderosa pine"
173,"0304070005950019_0009",-1379812.332,-200437.2738,"fourFri, P1","Coconino",124.2792374,50.2940674664564,1257.35168666141,113600,7500,12.7,0.05,"1/20 Acre",4,999,"Coco4","PIPO","update","update",111.2713815,4.71197209583802,5.69,2.12,0.06,3.95,4.07,3.25,0.08,0.19,0.23,0.02,0.06,10.81,2.65,4.13,5.87,10.53,14.69,22.16,36.68,41.81,19.03,28.54,396.5108,308.5174,97.202,215.3116,386.2404,538.8292,812.8288,2.38047163165112,0.974559639998131,1.76985463384001,2.35422832614588,2.68716699018579,3.09828886187908,87.315699448963,67.9386603673229,35.7468475951314,64.9182679692514,86.353095003031,98.5652852000146,113.645235453725,"PPF",2084.329,347,4,0.041077471,"Ponderosa pine","G","G. Ponderosa pine"
174,"0304070005950019_0010",-1379612.669,-200329.2209,"fourFri, P1","Coconino",124.2792374,50.2940674664564,1257.35168666141,113600,7500,12.7,0.05,"1/20 Acre",4,999,"Coco4","PIPO","update","update",133.3625685,4.89307149815509,3.61,2.66,-0.05,2.8,3.04,2.04,0.04,0.17,0.17,0.01,0.08,9.43,2.87,6.93,8.28,9.6,12.83,16.82,39.7,47.67,21,35.91,374.371,338.6313,113.939,328.716,381.12,509.351,667.754,2.24389609664537,1.05431202977153,2.11384296839717,2.26176309847379,2.55178617862755,2.8225686545448,89.082675036821,80.5783088305351,41.8561875819297,83.9195658453676,89.7919950094095,101.305911291514,112.055975585429,"PPF",2075.419,14,2,0.033745835,"Ponderosa pine","G","G. Ponderosa pine"
175,"0304070006040001_0001",-1385347.285,-201622.892,"fourFri, P1","Coconino",171.7031999,69.4858811547314,1737.14702886828,113600,7500,12.7,0.1,"1/10 Acre",5,999,"Coco5","PIPO","update","update",179.4723615,5.19002122114262,4.91,2.1,-0.17,4.03,3.93,2.82,-0.11,0.12,0.17,-0.04,0.04,17.48,5.48,7.53,9.22,12.41,17.55,22.39,44.37,52.2,23.59,21.27,775.5876,371.7996,243.1476,409.0914,550.6317,778.6935,993.4443,2.86105737022739,1.70110510095992,2.2213750375685,2.51850259921652,2.86505394991188,3.10861443061066,126.945115516989,60.8546902647366,75.4780333295918,98.5624104169145,111.745960327237,127.12244375759,137.929222286195,"PPF",2097.6672,0,0,0.040280082,"Ponderosa pine","G","G. Ponderosa pine"
176,"0304070006040001_0002",-1385130.362,-201634.5423,"fourFri, P1","Coconino",171.7031999,69.4858811547314,1737.14702886828,113600,7500,12.7,0.1,"1/10 Acre",5,999,"Coco5","PIPO","update","update",17.2726395,2.84912371777026,1.65,3.1,0.49,1.14,1.08,0.92,0.07,0.1,0.18,0.07,0.11,5.02,2.09,2.67,3.05,4.17,5.46,7.18,12.29,12.49,6.55,7.24,61.6958,36.3448,25.6861,37.4845,51.2493,67.1034,88.2422,1.61342993370364,0.73716406597672,1.11514159061932,1.42791603581071,1.69744878975681,1.97129938306013,19.8290538852177,11.6812327200143,9.05974637085388,13.7050901487114,17.5490880801136,20.8616456261112,24.227269417809,"PPF",2101.124,189,3,0.048712284,"Ponderosa pine","G","G. Ponderosa pine"
178,"0304070006040001_0004",-1385108.382,-201393.4568,"fourFri, P1","Coconino",171.7031999,69.4858811547314,1737.14702886828,113600,7500,12.7,0.1,"1/10 Acre",5,999,"Coco5","PIPO","update","update",79.5430995,4.37629900683525,6.23,1.65,-0.14,5.51,6.79,3.58,-0.16,-0.13,0.28,-0.04,-0.03,20.12,2.24,2.88,3.44,8.02,15.01,20.43,24.62,26.88,14.15,3.9,495.3544,78.468,55.1488,84.6928,197.4524,369.5462,502.9866,3.00171434523154,0.806475865866949,1.23547147138531,2.08193842187842,2.70871664564537,3.01700440882953,73.9022071796005,11.706685946403,19.8554358176443,30.4173076255063,51.2573239466468,66.688603815789,74.278648545383,"PPF",2105.9336,162,2,0.0469114,"Ponderosa pine","G","G. Ponderosa pine"
179,"0304070006040001_0005",-1385253.801,-201165.5439,"fourFri, P1","Coconino",171.7031999,69.4858811547314,1737.14702886828,113600,7500,12.7,0.1,"1/10 Acre",5,999,"Coco5","PIPO","update","update",72.1299495,4.27846934639056,2.7,2.46,0.41,1.89,1.95,1.53,0.14,0.13,0.2,0.09,0.08,7.29,2.59,3.48,4.1,5.74,7.86,11.63,42.53,51.28,19.39,24.95,310.0437,181.8855,110.1527,174.373,244.1222,334.2858,494.6239,1.98650354602057,0.951657875711446,1.41098697371026,1.74745921033147,2.06178660644112,2.45358796653057,84.4859958122547,49.5632634732131,40.4740094540078,60.0092759918974,74.3194402153976,87.6877843719406,104.351096216545,"PPF",2110.1675,0,0,0.044287064,"Ponderosa pine","G","G. Ponderosa pine"
180,"0304070006040001_0006",-1384879.772,-201206.2527,"fourFri, P1","Coconino",171.7031999,69.4858811547314,1737.14702886828,113600,7500,12.7,0.1,"1/10 Acre",5,999,"Coco5","PIPO","update","update",175.098603,5.16534926096186,5.23,1.96,-0.05,4.46,4.35,3.01,-0.03,0.07,0.22,-0.01,0.02,10.31,2.82,5.04,6.32,10.04,15.1,20.27,50.81,61.25,25.81,42.54,523.8511,438.5874,143.2842,321.1192,510.1324,767.231,1029.9187,2.33311429802887,1.03673688495002,1.84371920815877,2.30657711426358,2.71469474382088,3.00914196046391,118.545537482847,99.2506822381481,52.6766011243106,93.6793729665469,117.197183175733,137.933639933539,152.894503011171,"PPF",2111.5344,307,1,0.053267356,"Ponderosa pine","G","G. Ponderosa pine"
