"STBIOMSha","Elev_ave","Elev_mode","Elev_stddev","Elev_variance","Elev_CV","Elev_IQ","Elev_skewness","Elev_kurtosis","Elev_AAD","Elev_MAD_median","Elev_MAD_mode","Elev_L2","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_P01","Elev_P05","Elev_P10","Elev_P20","Elev_P25","Elev_P30","Elev_P40","Elev_P50","Elev_P60","Elev_P70","Elev_P75","Elev_P80","Elev_P90","Elev_P95","Elev_P99","Pct_first_returns_above_ht","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","First_returns_above_ht","All_returns_above_ht","Pct_first_returns_above_mean","Pct_first_returns_above_mode","pct_all_returns_above_mean","pct_all_returns_above_mode","All_returns_above_mean_div_Total_first_returns_x_100","All_returns_above_mode_div_Total_first_returns_x_100","First_returns_above_mean","First_returns_above_mode","All_returns_above_mean","All_returns_above_mode","Total_first_returns","Total_all_returns"
82.631912,13.32,18.64,4.94,24.47,0.37,7.91,-0.56,2.19,4.17,3.72,4.37,2.79,-0.44,0.08,0.2,-0.15,0.02,2.64,4.08,5.21,8.53,9.71,11,12.73,14.27,15.7,17.22,17.63,18.11,18.85,19.4,20.22,26.19,27.94,31.02,1439,1704,17.14,4.31,15.89,3.88,17.64,4.31,942,237,969,237,5493,6098
41.1924035,5.3,3.95,2.02,4.1,0.38,3.04,0.56,3.01,1.67,1.53,1.45,1.14,0.11,0.07,0.21,0.1,0.06,2.21,2.51,2.76,3.34,3.63,3.98,4.48,5.11,5.8,6.38,6.68,7.02,7.98,8.77,10.35,32.69,30.28,32.86,771,775,17.47,26.59,16.13,24.61,17.51,26.71,412,627,413,630,2358,2559
75.7871035,8.97,7.68,3.26,10.65,0.36,4.65,0.19,2.25,2.68,2.36,2.42,1.86,0.08,0.13,0.2,0.04,0.07,2.84,3.93,4.44,5.93,6.64,7.08,7.89,8.73,9.52,10.81,11.28,11.83,13.79,14.6,15.82,50,44.54,51.5,1491,1536,24.11,32.66,21.14,28.65,24.44,33.13,719,974,729,988,2982,3448
111.987986,11.61,2.68,6.72,45.17,0.57,13.14,0.12,1.57,6.01,6.57,9.11,3.85,0.16,-0.21,0.33,0.04,-0.05,2.17,2.61,2.98,4.27,5.04,6.18,7.88,11.8,13.87,16.43,18.18,18.91,21.07,21.89,22.63,25.14,25.92,28.11,1220,1364,14.59,26.4,14.67,27.13,15.91,29.43,708,1281,772,1428,4852,5262
84.608752,8.49,8.68,3.01,9.09,0.35,4.52,-0.05,2.21,2.5,2.25,2.25,1.73,-0.02,0.11,0.2,-0.01,0.06,2.3,3.44,4.4,5.75,6.22,6.71,7.63,8.57,9.41,10.31,10.74,11.28,12.59,13.26,14.4,39.55,35.98,41.06,1073,1114,21.48,20.64,18.92,18.15,21.59,20.71,583,560,586,562,2713,3096
116.534718,10.29,12.18,3.05,9.33,0.29,4.22,-0.32,2.62,2.48,2.08,2.26,1.73,-0.11,0.17,0.16,-0.06,0.09,2.86,4.82,6.12,7.56,8.27,8.84,9.72,10.52,11.4,12.16,12.49,12.97,14.16,14.83,16.17,56.32,52.18,60.63,1411,1519,32.13,18.2,27.89,15.66,32.41,18.2,805,456,812,456,2505,2911
47.9630805,12.16,20.06,5.98,35.82,0.49,10.34,-0.04,1.63,5.37,5.15,7.53,3.44,-0.04,-0.11,0.28,-0.01,-0.03,2.47,2.95,3.98,5.97,6.92,7.59,9.41,12.52,15.27,16.5,17.26,18.28,20.12,20.93,21.72,17.72,19.13,20.94,601,710,9.91,2.44,10.4,2.23,11.38,2.44,336,83,386,83,3390,3710
50.9283405,5.76,5.26,1.7,2.9,0.29,2.19,0.35,3.38,1.34,1.09,1.19,0.95,0.03,0.12,0.16,0.03,0.13,2.36,3,3.47,4.44,4.7,4.91,5.29,5.68,6.19,6.64,6.89,7.14,7.82,8.53,10.61,50.43,42.95,50.51,1380,1382,25.51,32.3,21.69,27.47,25.51,32.3,698,884,698,884,2736,3217
35.237173,8.52,3.69,5.5,30.26,0.64,5.9,1.14,3.12,4.38,2.49,2.87,2.89,0.9,0.33,0.34,0.31,0.11,2.3,2.88,3.38,4.14,4.58,4.95,5.72,6.57,7.52,9.2,10.49,13.44,18.55,20.92,21.95,34.32,32.52,36.68,1436,1535,11.4,31.47,11.52,29.92,13,33.74,477,1317,544,1412,4184,4719
172.924079,20.21,26.28,7.12,50.73,0.35,10.74,-0.8,2.77,5.89,4.81,4.15,3.94,-0.8,0.25,0.19,-0.2,0.06,2.56,5.17,9.33,14.09,15.48,16.35,19.69,22.12,23.89,25.48,26.21,26.69,27.82,28.53,29.64,31.92,35.57,41.17,590,761,22.02,10.38,20.94,8.97,24.24,10.38,407,192,448,192,1848,2139
32.271913,11.66,16.39,4.02,16.23,0.34,5.99,-0.39,2.49,3.27,2.98,4.44,2.28,-0.21,0.19,0.19,-0.09,0.08,2.65,3.98,5.84,8.37,9.08,9.68,10.95,11.94,13.02,14.31,15.07,15.62,16.49,16.89,19.55,16.54,17.62,18.88,998,1139,9.99,2.17,9.71,2.07,10.41,2.22,603,131,628,134,6032,6463
138.87301,7.68,4.39,4.07,16.62,0.53,4.37,1.56,5.83,2.92,2.18,2.59,2.09,0.52,0.42,0.27,0.24,0.2,2.23,2.93,3.62,4.45,4.77,5.37,6.23,6.99,7.68,8.57,9.14,9.79,12.19,17.3,21.98,38.73,36.18,41.49,982,1052,16.05,33.21,15.34,30.99,17.59,35.54,407,842,446,901,2535,2907
54.709047,9.2,5.68,3.99,15.99,0.43,6.67,0.38,2.06,3.4,2.87,2.86,2.28,0.24,0.09,0.24,0.1,0.03,2.61,3.43,4.49,5.71,5.97,6.46,7.48,8.3,9.33,11.58,12.65,13.13,15.25,16.47,17.22,28.58,27.22,30.14,514,542,12.29,23.74,11.45,22.5,12.68,24.91,221,427,228,448,1798,1991
34.2734635,4.58,3.62,1.66,2.78,0.36,2.54,0.48,2.47,1.38,1.27,1.17,0.94,0.1,0.05,0.2,0.11,0.06,2.13,2.31,2.48,2.96,3.19,3.46,3.95,4.39,4.85,5.45,5.74,6.09,6.85,7.65,8.72,21.48,20.92,21.48,399,399,12.7,18.36,12.37,17.88,12.7,18.36,236,341,236,341,1857,1907
2.372208,6.6,2.02,3.47,12.09,0.52,6.51,0.29,1.68,3.06,3.27,4.53,1.98,0.2,-0.08,0.3,0.1,-0.04,2.09,2.19,2.43,3,3.23,3.57,4.46,6.55,7.38,9.32,9.74,10.24,11.82,12.36,12.86,8.9,8.93,9.06,164,167,5.48,11.07,5.5,11.12,5.59,11.29,101,204,103,208,1842,1870
199.314893,11.31,12.76,5.02,25.2,0.44,7.55,0.16,2.23,4.15,3.82,4.17,2.87,0.11,0.19,0.25,0.03,0.06,2.35,2.99,4.96,6.62,7.25,8.14,9.68,11.17,12.69,13.88,14.8,15.86,18.38,20.13,21.92,61.46,55.27,70.58,1072,1231,33.42,27.06,28.55,22.94,36.46,29.3,583,472,636,511,1744,2227
45.46732,7.88,4.92,3.27,10.73,0.41,5.14,0.33,2.12,2.78,2.62,2.79,1.87,0.16,0.06,0.23,0.08,0.03,2.43,3.24,4.18,4.75,5.02,5.24,6.45,7.72,8.74,9.72,10.17,10.85,12.79,13.52,14.96,34.38,33.37,36.97,1209,1300,18.43,28.04,16.89,26.93,18.71,29.83,648,986,658,1049,3516,3895
113.1493795,7.81,7.11,2.9,8.42,0.37,4.24,0.13,2.43,2.37,2.11,2.08,1.65,0.04,0.14,0.21,0.02,0.08,2.12,3.05,3.93,5.33,5.68,6.02,7.02,7.67,8.49,9.48,9.93,10.37,11.63,12.81,14.29,56.75,46.42,59.31,1130,1181,29.63,35.91,23.42,28.49,29.93,36.41,590,715,596,725,1991,2544
6.3011775,6.35,2.2,3.67,13.48,0.57,6.5,0.5,1.79,3.26,2.75,3.11,2.06,0.35,-0.08,0.32,0.17,-0.03,2.08,2.25,2.36,2.75,2.96,3.29,3.96,5.32,6.55,9.11,9.46,10.65,11.49,12.56,13.6,9.96,10.24,10.62,181,193,5.72,13.16,5.62,13.37,5.83,13.87,104,239,106,252,1816,1884
98.842,7.3,4.31,3.75,14.1,0.51,5.8,0.63,2.11,3.25,2.36,1.86,2.09,0.41,0.02,0.28,0.19,0.01,2.45,2.96,3.32,3.95,4.14,4.36,4.87,5.98,7.8,9.23,9.94,11.31,13.63,14.29,15.23,63.67,57.77,72.16,938,1063,31.7,48.74,27.28,43.36,34.08,54.17,467,718,502,798,1473,1840
90.489851,4.02,3.79,0.98,0.97,0.24,1.26,0.45,2.81,0.78,0.63,0.62,0.55,0.05,0.06,0.13,0.09,0.11,2.2,2.53,2.86,3.19,3.31,3.44,3.73,3.89,4.15,4.43,4.57,4.85,5.49,5.85,6.36,23.87,22.79,23.87,410,410,12.34,15.84,11.78,15.11,12.34,15.84,212,272,212,272,1717,1799
42.3785075,6.02,4.74,2.37,5.61,0.39,3.8,0.23,2.12,2.02,1.91,1.92,1.36,0.07,0.04,0.22,0.05,0.03,2.24,2.62,2.88,3.56,4.09,4.48,5,5.93,6.76,7.53,7.9,8.23,9.12,9.95,11.09,34.19,32.43,35.07,505,518,19.56,26.06,18.09,24.1,19.56,26.06,289,385,289,385,1477,1597
120.4636875,9.05,9.41,3.79,14.39,0.41,6.73,0.01,1.84,3.28,3.29,3.29,2.18,-0.000181,0.005227,0.24,-8.3e-05,0.002394,2.65,3.23,4.01,5.04,5.46,5.86,8.1,9.44,10.52,11.86,12.19,12.58,13.9,14.94,16.49,63.8,53.35,68.12,1019,1088,37.19,34.87,29.47,27.66,37.63,35.31,594,557,601,564,1597,2039
54.0418635,6.75,2.74,3.04,9.25,0.45,5.09,0.27,2,2.56,2.5,3.84,1.74,0.12,0.04,0.25,0.07,0.02,2.09,2.42,2.82,3.78,4.25,4.57,5.45,6.59,7.32,8.6,9.35,9.73,11.19,12.09,12.96,29.29,27.97,30.94,445,470,16.85,30.54,15.35,29.34,16.98,32.45,256,464,258,493,1519,1680
67.7314805,6.92,5.12,3.54,12.54,0.51,6.07,0.52,1.89,3.09,2.3,2.08,1.99,0.32,-0.007168,0.28,0.16,-0.003596,2.17,2.59,2.98,3.63,3.98,4.39,5.02,5.63,7.05,9.15,10.05,11.13,12.51,12.98,13.82,36.52,34.97,38.22,557,583,16.65,24.06,15.77,22.79,17.24,24.91,254,367,263,380,1525,1667
146.829791,11.17,13,3.52,12.44,0.31,4.73,-0.58,2.53,2.86,2.3,2.21,1.98,-0.28,0.17,0.17,-0.14,0.08,3.33,4.33,5.55,8.34,9.2,9.89,10.78,11.69,12.72,13.42,13.94,14.29,15.19,15.86,17.25,79.54,64.96,87.02,1073,1174,48.85,31.65,36.74,23.68,49.22,31.72,659,427,664,428,1349,1807
31.925966,13.27,3.29,9,81.03,0.67,18.02,0.29,1.5,8.2,7.17,7.29,5.09,0.56,-0.43,0.38,0.11,-0.08,2.14,2.71,3.16,3.86,4.42,5.18,7.45,10.58,16.74,20.55,22.44,23.87,26.51,27.38,28.25,63.4,58.92,75.92,532,637,30.39,61.14,28.67,57.07,36.94,73.53,255,513,310,617,839,1081
246.5366585,13.47,15.14,4.17,17.46,0.31,5.25,-0.61,2.71,3.36,2.56,2.62,2.34,-0.33,0.24,0.17,-0.14,0.1,3.25,5.66,6.6,10.3,11.29,11.88,13.01,14.27,15.27,16.14,16.54,16.99,18.45,19.29,20.35,74.91,65.86,86.77,663,768,47,36.27,36.02,27.61,47.45,36.38,416,321,420,322,885,1166
10.8973305,12.82,19.96,7.24,52.48,0.56,14.05,0.08,1.44,6.66,7,6.94,4.13,0.13,-0.33,0.32,0.03,-0.08,2.37,3.14,3.59,5.1,5.94,6.77,8.42,13.02,16.38,19.51,19.98,20.44,22.52,23.14,24.14,39.79,37.42,44.74,466,524,21.6,11.69,19.5,9.78,23.31,11.69,253,137,273,137,1171,1400
179.348809,14.56,16.1,4.78,22.94,0.32,7.01,-0.53,2.51,3.9,3.54,3.24,2.7,-0.33,0.2,0.18,-0.12,0.07,3.11,5.76,7.28,10.19,11.66,12.65,13.82,15.08,16.27,17.98,18.67,19.2,20.52,20.93,22.07,55.97,54.83,65.97,515,607,35.32,27.71,30.08,23.39,36.19,28.15,325,255,333,259,920,1107
