"ID","STBIOMSha","logSTBIOMSha","TCUmha","Elev_stddev","Elev_kurtosis","Elev_MAD_median","Elev_MAD_mode","Elev_L3","Elev_L4","Elev_LCV","Elev_Lskewness","Elev_Lkurtosis","Elev_mode","Elev_P01","Elev_P10","Elev_P30","Elev_P60","Elev_P90","Pct_all_returns_above_ht","all_returns_above_ht_div_Total_first_returns_x_100","pct_all_returns_above_mean","All_returns_above_mode_div_Total_first_returns_x_100","mode_pctAllOver3m","mode_pctAlloverModeDiv1st","P01_pctAllOver3m","P10_pctAllOver3m","P30_pctAllOver3m","P60_pctAllOver3m","P90_pctAllOver3m","logmode","logP01","logP10","logP30","logP60","logP90","log_Pct_all_returns_above_ht","log_pct_all_returns_above_mean","log_all_returns_above_ht_div_Total_first_returns_x_100","logmode_pctAllOver3m","logmode_pctAlloverModeDiv1st","logP01_pctAllOver3m","logP10_pctAllOver3m","logP30_pctAllOver3m","logP60_pctAllOver3m","logP90_pctAllOver3m","elevation","aspect","slope","NDVI_Amp","R3ERUlabel","R3ERUcodeFull","R3ERUlabelName","Site","Forest","PlotSizeAcres","fpc","Stratum"
1089,151.327102,5.02603019548133,227.877857289602,6.2,1.8,4.44,3.72,-0.4,-0.02,0.23,-0.11,-0.008409,19.85,2.91,5.85,9.91,18.44,22.09,45.86,55.32,27.14,15.89,910.321,315.4165,133.4526,268.281,454.4726,845.6584,1013.0474,3.03735394824481,1.36353737399727,1.92424865227413,2.38967979984498,2.96733279903229,3.1393996233664,3.84716443307965,3.33719205168624,4.03104971184979,11.6852000803615,8.58575440969465,5.24575248841714,7.4029009754305,9.1934911324125,11.4158172055477,12.0777865722389,2269.297,207,10,0.094066199,"F","Mixed conifer with aspen","F. mixed conifer","fourFri, P1","Coconino",0.0666667,30.6454752,"Coco177"
1095,65.1121675,4.19135280707334,104.53850958816,4.16,4.32,2.39,2.76,-0.36,0.37,0.15,-0.16,0.16,16.85,2.06,9.67,12.89,15.78,19.13,28.54,32.87,16.06,10.3,480.899,173.555,58.7924,275.9818,367.8806,450.3612,545.9702,2.88200350822565,1.11841491596429,2.36743606531366,2.63116915676625,2.82018770103906,3.0022112396517,3.38574527710323,2.83673654206353,3.52252966682968,9.75772976656994,6.98828996227524,3.7866680195679,8.01553547697959,8.90846854578104,9.54843718933762,10.164722525517,2233.7825,64,8,0.205281724,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,23.65825993,"Coco178"
1098,144.5317145,4.98039403193191,237.2058550896,4.3,3.03,3.23,3.46,-0.22,0.19,0.13,-0.09,0.08,21.77,7.12,13.15,15.9,20.1,23.37,47.2,55.83,24.85,13.94,1027.544,303.4738,336.064,620.68,750.48,948.72,1103.064,3.12544388007565,2.09433015417359,2.64971462408925,2.82731362192903,3.04927304048202,3.19335286763712,3.87535902105655,3.25231060095444,4.04006435530903,12.1122171354572,8.45133208202438,8.11628125604737,10.2685954716897,10.9568553500987,11.8170277850965,12.3753888430143,2202.2183,107,9,0.060375706,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,15.46509867,"Coco179"
1102,145.544845,4.98733149083027,173.624889813578,3.56,2.47,2.71,2.9,0.06,0.12,0.22,0.03,0.06,6.94,2.33,4.16,6.59,9.93,13.69,50.79,67.91,26.53,47.11,352.4826,326.9434,118.3407,211.2864,334.7061,504.3447,695.3151,2.07191327525904,1.20297230399235,1.64093657949347,2.02683159140754,2.39151130218845,2.68716699018579,3.9471970804358,3.31527631915452,4.23280130536912,8.17825003101868,8.02553546801227,4.74836876616374,6.47710007575694,8.00030374013888,9.43976642982746,10.6067776983048,2204.894,105,9,0.081964361,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,29.17914881,"Coco180"
1106,58.5391745,4.08663449086269,100.195333356475,5.07,2.18,3.52,3.53,-0.21,0.19,0.23,-0.07,0.06,13.6,2.41,4.66,9.52,14.28,18.93,26.9,31.16,15.77,15.7,365.84,213.52,64.829,125.354,256.088,384.132,509.217,2.68102152871429,1.22671229129543,1.73342389221509,2.35327820730956,2.72654478373837,2.9922261342247,3.32862668882732,2.81959157583512,3.47072344431077,8.92411981379901,7.54817138890222,4.08326727231847,5.76992103067809,7.83318464708632,9.07564973543447,9.96000376938695,2191.3833,321,2,0.089424952,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,19.78619771,"Coco181"
1120,86.7091445,4.47402616418183,101.651455434474,3.95,2.26,3.05,3.92,-0.08,0.14,0.21,-0.03,0.06,7.29,2.29,4.8,7.95,11.8,15.44,36.01,46.3,19.32,37.23,262.5129,271.4067,82.4629,172.848,286.2795,424.918,555.9944,2.1150499691472,1.19088756477728,1.75785791755237,2.19165353228676,2.54944517092557,2.79971738962803,3.61118814639806,3.01160562271028,3.85651029549789,7.63784337762397,7.7064395270146,4.30051905761657,6.34795567491712,7.91447325680541,9.20652618113821,10.1103062506893,2158.6052,294,5,0.125417253,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,48.33130795,"Coco185"
1122,151.0058655,5.02391910891754,236.01632720272,4.11,6,2.3,2.59,-0.31,0.4,0.1,-0.14,0.18,21.97,5.44,15.92,18.5,21.35,24.64,39.95,45.68,21.94,15.18,877.7015,333.5046,217.328,636.004,739.075,852.9325,984.368,3.13418901670101,1.86252854011626,2.82849635417808,2.9704144655697,3.10682632105958,3.24415363205247,3.71235181029908,3.13288211170122,3.84331580741836,11.6352122699695,8.72487988718866,6.91436119763431,10.5003735608573,11.0272235185962,11.5336323172703,12.0434396088383,2195.026,272,6,0.049411854,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,48.33130795,"Coco185"
1123,43.737585,3.8008139760624,46.2124586830016,1.68,5.88,0.73,0.79,0.29,0.17,0.22,0.35,0.2,2.41,2.03,2.24,2.71,3.51,6.15,10.01,10.32,5.89,14.62,24.1241,35.2342,20.3203,22.4224,27.1271,35.1351,61.5615,1.22671229129543,1.10856261952128,1.17557332980424,1.31103187661934,1.50629715351459,1.96711235670592,2.39880395073459,1.93007108502557,2.42657107277504,2.94264229077415,3.37168269881603,2.65922439134433,2.81996994791262,3.14490844517346,3.61331156283106,4.71871689280498,2214.8452,224,10,0.09659991,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,48.33130795,"Coco185"
1125,61.578566,4.13642282330897,91.59364728976,4.6,4.28,2.89,3.31,-0.53,0.32,0.14,-0.21,0.12,21.61,2.57,11.45,16.38,19.71,22.42,29.77,33.02,17.74,6.34,643.3297,137.0074,76.5089,340.8665,487.6326,586.7667,667.4434,3.11839228628988,1.27256559579155,2.52172062291072,2.85532011983725,3.03061667540749,3.15359035816957,3.42654018933395,2.93066027681028,3.52694858696772,10.6852964950813,6.21601247080824,4.36049715754344,8.64077706067581,9.78386914403615,10.3845298367494,10.8059041029641,2188.4697,105,18,0.057329382,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,59.85926562,"Coco186"
1126,114.0389575,4.74527083186631,155.84564623844,2.46,2.09,2.01,1.98,-0.01,0.05,0.21,-0.01,0.04,7.08,2.23,3.01,5.14,7.29,9.8,22.08,24.6,12.7,11.89,156.3264,84.1812,49.2384,66.4608,113.4912,160.9632,216.384,2.089391872533,1.17248213723457,1.38879124131848,1.81482474215905,2.1150499691472,2.37954613413017,3.1389664416399,2.61739583283408,3.24259235148552,6.55853097131625,5.34142964885985,3.68038208220153,4.35936910094212,5.69667396309504,6.63907087554457,7.46931546136857,2221.2847,115,2,0.079727805,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,59.85926562,"Coco186"
1127,14.8263,2.76167311315545,11.96525109744,4.43,3.02,2.53,2.51,-0.41,0.31,0.18,-0.16,0.12,14.59,2.3,7,11.82,15.09,18.37,19.69,22.72,12.19,10.92,287.2771,159.3228,45.287,137.83,232.7358,297.1221,361.7053,2.74662968306969,1.19392246847243,2.07944154167984,2.55100645149252,2.77819796100429,2.9637254774189,3.02965049175745,2.57945896672922,3.16631857412952,8.32132796998769,6.80674619056029,3.61716779372778,6.29998108933119,7.72865795024076,8.4169688187562,8.97905235009627,2211.0237,163,8,0.047625175,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,59.85926562,"Coco186"
1133,149.004315,5.01066406034917,247.332236018381,4.29,3.44,2.9,2.92,-0.33,0.25,0.12,-0.13,0.1,19.26,5.82,12.6,16.61,20.2,23.41,45.72,56.98,26.29,29.38,880.5672,565.8588,266.0904,576.072,759.4092,923.544,1070.3052,3.00864849882054,1.91985947185537,2.61006979274201,2.86846692250811,3.05400118167797,3.19499288440487,3.84417233851997,3.30652033472025,4.06009812349351,11.5657633354955,10.2708776027002,7.38027067555198,10.0335580988654,11.0268811974652,11.7401068644137,12.2821032679973,2182.861,179,14,0.01700335,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.1,42.31406644,"Coco187"
1136,267.1452155,5.59152868264436,374.16669654039,1.83,2.07,1.47,1.8,-0.01,0.03,0.17,-0.01,0.03,4.42,2.23,3.5,4.67,6.54,8.19,42.94,50.91,22.69,41.72,189.7948,184.4024,95.7562,150.29,200.5298,280.8276,351.6786,1.69009581545155,1.17248213723457,1.50407739677627,1.73518911773966,2.02022218201986,2.2181159363676,3.78282506695646,3.16505301817069,3.94951144983914,6.39333681624837,6.34574731409447,4.4352948192896,5.68966167916791,6.56391689049566,7.64214711096623,8.39074456550695,2113.4834,234,8,0.03653481,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,429.3223394,"Coco188"
1139,42.2796655,3.76768290576529,40.4103614841728,1.82,3.47,1.1,1.3,0.22,0.09,0.23,0.22,0.09,2.53,2.06,2.38,3.06,4.36,6.96,26.63,27.89,15.02,33.38,67.3739,84.4514,54.8578,63.3794,81.4878,116.1068,185.3448,1.26129787094521,1.11841491596429,1.21787570949493,1.40118297361364,1.67896397508271,2.07442899985629,3.31890213893533,2.77383794164021,3.36349551447814,4.18612420171461,4.46180968596476,3.71190965681105,4.04201029720009,4.65038916816607,5.57231712809736,6.88482684469251,2101.1843,178,7,0.060585859,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,429.3223394,"Coco188"
1142,53.3993905,3.99635294975501,54.6602058467088,2.77,1.84,1.89,1.42,0.25,-0.02,0.27,0.16,-0.01,3.58,2.12,2.76,3.59,5.94,10.08,29.87,32.89,14.69,27.17,106.9346,97.2686,63.3244,82.4412,107.2333,177.4278,301.0896,1.52169899812609,1.13783300182139,1.3244189574018,1.52388002407245,1.93730177451871,2.40514168131914,3.42978483851407,2.75302356674494,3.52311998561896,5.21910015255492,5.07982321784623,3.90252237840796,4.54247205993731,5.22658060227815,6.64452825387068,8.24911847306661,2128.8994,86,6,0.035341082,"G","Ponderosa pine","G. Ponderosa pine","fourFri, P1","Coconino",0.05,429.3223394,"Coco188"
