PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,dbhThreshcm,PlotSizeAcres,PlotSize,RandomUniform,fpc,Elev_Class,CC_Class,Stratum,DOM_TYPE,Dom_Type_Label,Secondary_Label,LifeForm,ForestType,TCUFT,STBIOMS,Elev_ave,Elev_mode,Elev_stddev,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_kurtosis,Elev_AAD,Elev_MAD_median,Elev_MAD_mode,Elev_L2,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_P01,Elev_P05,Elev_P10,Elev_P20,Elev_P25,Elev_P30,Elev_P40,Elev_P50,Elev_P60,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99,Pct_first_returns_above_ht,Pct_all_returns_above_ht,all_returns_above_ht_div_Total_first_returns_x_100,First_returns_above_ht,All_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mean,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,First_returns_above_mean,First_returns_above_mode,All_returns_above_mean,All_returns_above_mode,Total_first_returns,Total_all_returns
3660-0140,-961513.9449,-130330.8312,340683.686,3968749.793,SWJM,SWJM,12.7,0.1,1/10 Acre,0.129000909,14704,3,2,SWJM_32,PIPO,Ponderosa pine,none,Forest,update,1993.46,39.31,13.397284,15.098254,2.993186,8.959161,0.223417,3.465,-1.103107,4.691617,2.260815,1.68,1.678254,1.605706,-0.29007,0.283105,0.119853,-0.18065,0.176312,3.5384,7.2505,9.78,11.41,11.922501,12.373,13.27,13.92,14.54,15.1,15.387501,15.73,16.57,17.280001,18.7516,62.754658,50.105652,0,3604,3794,38.882117,20.006965,29.503434,15.174326,38.89953,20.006965,2233,1149,2234,1149,5743,7572
3680-0300,-963813.1248,-137460.2153,339060.82,3961501.265,SWJM,SWJM,12.7,0.1,1/10 Acre,0.045135546,14704,3,2,SWJM_32,PIPO,Ponderosa pine,none,Forest,update,2560.65,48.39,11.435005,13.174603,4.276545,18.288833,0.373987,5.95,-0.343609,2.294387,3.558006,2.97,3.034603,2.43638,-0.214046,0.176202,0.213063,-0.087854,0.072321,2.3863,3.65,4.9,7.62,8.71,9.3,10.54,12.09,13.198,14.101001,14.66,15.24,16.639999,17.59,19.219999,60.615385,48.54409,0,5319,5885,37.082621,27.623932,27.451951,20.094036,37.925926,27.760684,3254,2424,3328,2436,8775,12123
3680-0600,-964426.7596,-136956.1589,338395.937,3961940.854,SWJM,SWJM,12.7,0.1,1/10 Acre,0.171616825,14704,3,2,SWJM_32,JUSC2_PSME,rocky mountain juniper,Douglas fir,Woodland_Mix,update,3228.1,76.14,7.494804,4.23,4.565567,20.844406,0.609164,5.6975,1.095132,3.45495,3.624442,2.485,2.06,2.460649,0.64367,0.281016,0.328314,0.261586,0.114204,2.09,2.3825,2.745,3.67,4.0425,4.46,5.31,6.095,7.27,8.735,9.74,11.01,14.8,17.190001,20.360001,44.928438,41.351783,0,1444,1554,19.632856,38.021157,17.855242,34.805748,20.877411,40.696951,631,1222,671,1308,3214,3758
3060-0620,-947831.1113,-118051.8107,353246.083,3982145.339,SWJM,SWJM,12.7,0.1,1/10 Acre,0.009648726,3120,3,3,SWJM_33,PINUS,update,update,update,update,1617.13,40.77,8.912662,2.01,5.519563,30.465573,0.619294,7.43,0.79041,2.623065,4.510234,3.6,5.66,3.061762,0.632524,0.201765,0.343529,0.206588,0.065898,2.1084,2.38,2.764,3.828,4.38,4.904,6.27,7.67,9.033999,10.74,11.81,14.56,17.958,20.313999,21.8312,41.551779,39.261364,0,1296,1382,19.717858,47.226675,18.352273,45,20.711767,50.785508,615,1473,646,1584,3119,3520
3120-2830,-947658.3156,-137578.2849,355297.798,3962901.903,SWJM,SWJM,12.7,0.1,1/10 Acre,0.387429119,3120,3,3,SWJM_33,PIPO,Ponderosa pine,none,Forest,update,1121.15,39.85,9.641503,7.698889,4.492888,20.186045,0.465995,5.2,0.802555,3.153064,3.507532,2.47,2.411111,2.472562,0.426925,0.356223,0.25645,0.172665,0.14407,2.42,3.35,4.37,6.12,6.65,7.13,7.93,8.71,9.61,10.97,11.85,12.99,17.040001,19.1425,20.497,81.104695,64.458544,0,10675,11988,34.196931,54.399028,26.518981,42.13894,37.471509,59.542623,4501,7160,4932,7837,13162,18598
3200-1411,-942872.4024,-143397.4475,360664.263,3957611.367,SWJM,SWJM,12.7,0.1,1/10 Acre,0.039664975,2429,4,1,SWJM_41,PIPO,Ponderosa pine,none,Forest,update,1397.69,28.25,11.819063,15.703334,5.876945,34.538488,0.497243,10.050001,0.012265,1.681359,5.287845,4.950001,5.426665,3.37863,0.010063,-0.078054,0.285863,0.002978,-0.023102,2.2988,3.091,3.812,5.678,6.65,7.392,8.776,12.48,14.844,16.049999,16.700001,17.312,19.556,20.982,22.2518,27.764128,27.355332,0,1017,1144,15.151515,10.619711,14.729794,9.684362,16.816817,11.056511,555,389,616,405,3663,4182
3084-0801,-950543.04,-122863.9727,350984.858,3977144.614,SWJM,SWJM,12.7,0.1,1/10 Acre,0.108427498,10869,4,2,SWJM_42,PIEN_PIPO,Apache pine,Ponderosa pine,Forest,update,2223.21,40.33,12.338345,9.605238,4.983801,24.838272,0.403928,7.760001,0.008285,2.194896,4.186373,3.84,4.125,2.860655,0.014947,0.17413,0.231851,0.005225,0.060871,2.4496,3.82,5.679,7.968,8.61,9.28,10.62,12.03,13.82,15.62,16.370001,17.110001,19.062,20.35,22.4003,59.669905,51.449275,0,4483,4970,31.824837,44.030347,25.590062,35.942029,32.902968,46.21323,2391,3308,2472,3472,7513,9660
3111-0420,-947718.0821,-135744.4089,355061.345,3964705.183,SWJM,SWJM,12.7,0.1,1/10 Acre,0.469240774,10869,4,2,SWJM_42,PIPO,Ponderosa pine,none,Forest,update,3460.67,62.74,15.667941,18.761904,4.945419,24.457166,0.315639,6.912501,-0.60525,2.590648,4.057679,3.225,3.041904,2.778906,-0.410577,0.244964,0.177363,-0.147748,0.088151,3.9124,5.79,8.351001,11.032,12.45,13.42,15.454,16.785,17.82,18.91,19.362501,19.93,21.349001,22.584499,23.7538,51.17518,47.48506,0,3266,3814,34.00188,18.6932,27.838645,14.927789,35.036039,18.787214,2170,1193,2236,1199,6382,8032
3172-0240,-943206.7373,-136781.7004,359692.16,3964105.574,SWJM,SWJM,12.7,0.1,1/10 Acre,0.446978588,10869,4,2,SWJM_42,PSME,Douglas fir,none,Forest,update,1021.88,20.34,11.878676,3.547143,6.508485,42.360373,0.547913,11.765,0.058995,1.844383,5.676021,5.55,8.977857,3.737872,0.052575,-0.0294,0.314671,0.014066,-0.007865,2.12,2.51,3.161,4.272,5.315,7.1,9.756,12.525,14.73,16.209999,17.08,18.096001,20.139,22.289501,25.109501,27.788492,29.093369,0,1729,1935,16.698811,26.117004,16.899714,27.424447,18.064931,29.315333,1039,1625,1124,1824,6222,6651
3192-0600,-945617.0644,-140820.0996,357659.801,3959895.899,SWJM,SWJM,12.7,0.1,1/10 Acre,0.688764044,10869,4,2,SWJM_42,PIPO_POTR5,update,update,update,update,3924.03,74.44,14.487586,19.66,6.207834,38.537206,0.428493,9.9825,-0.405044,2.176855,5.194826,4.22,4.59,3.52491,-0.401404,0.19246,0.243306,-0.113876,0.0546,2.1559,2.9995,4.509,8.16,9.4475,11.62,13.868,15.67,17.32,18.85,19.43,19.942001,21.33,23.4105,25.7282,65.635739,53.664459,0,2101,2431,43.298969,18.088097,31.611479,12.869757,44.73602,18.213058,1386,579,1432,583,3201,4530
3192-1300,-944812.0738,-141598.4399,358543.155,3959203.744,SWJM,SWJM,12.7,0.1,1/10 Acre,0.360536523,10869,4,2,SWJM_42,PIPO,Ponderosa pine,none,Forest,update,3686.57,77.61,15.590674,18.509842,4.582778,21.001855,0.293944,5.820001,-0.836617,3.202518,3.649926,2.839999,2.71,2.530172,-0.459711,0.303074,0.162288,-0.181692,0.119784,2.8513,6.2,8.643001,12.106,13.13,13.86,15.33,16.559999,17.629999,18.550999,18.950001,19.5,20.540001,21.530001,22.888699,78.008915,64.597136,0,5250,6045,50.995542,27.459138,37.668305,19.918786,52.377415,27.69688,3432,1848,3525,1864,6730,9358
3192-1620,-946032.124,-142294.1368,357384.749,3958402.944,SWJM,SWJM,12.7,0.1,1/10 Acre,0.657385684,10869,4,2,SWJM_42,PIPO_PSME,Ponderosa pine,Douglas fir,Forest,update,2503.42,50.31,10.726447,8.45492,4.399118,19.352239,0.410119,6.09,0.37274,2.814308,3.521657,3.04,3.00508,2.484274,0.17925,0.288119,0.231603,0.072154,0.115977,2.346,3.65,5.33,6.91,7.56,8.25,9.33,10.38,11.43,12.78,13.65,14.47,16.610001,18.65,22.144001,60.727347,55.188759,0,2989,3260,30.272247,44.433157,26.13848,38.818351,31.369362,46.586753,1490,2187,1544,2293,4922,5907
