PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,dbhThreshcm,PlotSizeAcres,PlotSize,RandomUniform,fpc,Elev_Class,CC_Class,Stratum,DOM_TYPE,Dom_Type_Label,Secondary_Label,LifeForm,ForestType,TCUFT,STBIOMS,Elev_ave,Elev_mode,Elev_stddev,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_kurtosis,Elev_AAD,Elev_MAD_median,Elev_MAD_mode,Elev_L2,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_P01,Elev_P05,Elev_P10,Elev_P20,Elev_P25,Elev_P30,Elev_P40,Elev_P50,Elev_P60,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99,Pct_first_returns_above_ht,Pct_all_returns_above_ht,all_returns_above_ht_div_Total_first_returns_x_100,First_returns_above_ht,All_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mean,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,First_returns_above_mean,First_returns_above_mode,All_returns_above_mean,All_returns_above_mode,Total_first_returns,Total_all_returns
0304070006240005_0006,-1393115.451,-210618.5021,465156.9212,3829877.272,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.84005855,85.96390423,28,999,Coco28,PIPO,update,update,update,update,1073,20.74,9.96,9.71,2.36,5.59,0.23,3.16,0.39,2.8,1.88,1.6,1.57,1.33,0.11,0.14,0.13,0.08,0.11,5.59,6.61,7.06,7.82,8.19,8.48,9.21,9.85,10.36,10.94,11.36,11.9,13.43,14.42,15.68,36.3,32.14,36.9,1525,1550,17.54,19.57,15.36,17.19,17.64,19.73,737,822,741,829,4200,4822
0304070006240005_0007,-1392912.89,-210653.2011,465364.0169,3829874.898,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.051274576,85.96390423,28,999,Coco28,PIPO,update,update,update,update,1900,34.65,11.55,11.05,2.12,4.51,0.18,2.9,0.003759,3.03,1.69,1.47,1.44,1.19,0.007979,0.14,0.1,0.006654,0.12,6.6,8.22,8.92,9.8,10.08,10.41,11.05,11.55,12.1,12.63,12.98,13.32,14.37,15.04,16.6,53.35,46.74,54.19,1144,1162,27.09,32.5,23.37,28.03,27.09,32.5,581,697,581,697,2144,2486
0304070006250007_0001,-1391310.324,-210411.7981,466920.5939,3830361.292,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.134027765,59.01027502,29,999,Coco29,PIPO,update,update,update,update,3058.28,54.26,12.14,11.67,2.7,7.3,0.22,4,-0.11,2.47,2.23,2.03,2.15,1.54,-0.02,0.11,0.12,-0.01,0.07,5.92,7.82,8.47,9.65,10.19,10.65,11.46,12.02,12.97,13.88,14.19,14.64,15.56,16.52,17.67,63.35,54.25,64.55,1689,1721,31.39,36.19,26.38,30.45,31.39,36.23,837,965,837,966,2666,3172
0304070006250007_0002,-1391205.582,-210513.4674,467040.9672,3830278.082,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.764862462,59.01027502,29,999,Coco29,PIPO,update,update,update,update,1819.5,36.95,11.8,9.23,3.36,11.31,0.28,5.12,0.02,2.24,2.84,2.48,3.04,1.92,0.009868,0.11,0.16,0.005118,0.05,5.2,6.46,7.17,9.01,9.31,9.6,10.59,11.64,13.03,13.92,14.44,15.1,16.02,17.23,19.04,47.97,43.91,51.4,923,989,25.1,38.3,21.62,33.52,25.31,39.24,483,737,487,755,1924,2252
0304070006250007_0003,-1391211.026,-210286.3224,466999.5054,3830499.644,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.385923534,59.01027502,29,999,Coco29,PIPO,update,update,update,update,1935,31.86,13.21,11.97,2.3,5.32,0.17,2.97,-0.57,4.13,1.8,1.49,1.74,1.28,-0.07,0.17,0.09,-0.05,0.13,6.64,9.28,10.43,11.52,11.9,12.16,12.63,13.26,13.83,14.56,14.87,15.21,16.08,16.77,17.42,23.13,21.73,23.48,720,731,11.88,17.28,11.03,16.02,11.92,17.32,370,538,371,539,3112,3363
0304070006250007_0004,-1391039.111,-210110.6546,467142.7215,3830698.471,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.863530144,59.01027502,29,999,Coco29,PIPO,update,update,update,update,1453.5,27.56,10.04,11.04,1.86,3.47,0.18,2.68,-0.24,2.73,1.51,1.34,1.38,1.05,-0.04,0.1,0.1,-0.04,0.09,5.78,6.91,7.63,8.4,8.69,9.02,9.68,10.13,10.62,11.11,11.38,11.69,12.46,13,13.69,39.69,36.22,40.14,1345,1360,20.86,12.75,18.85,11.5,20.89,12.75,707,432,708,432,3388,3754
0304070006250007_0005,-1391069.269,-209925.4951,467083.3258,3830875.067,"fourFri, P1",Coconino,12.7,0.0666667,1/15 Acre,0.945218782,59.01027502,29,999,Coco29,PIPO,update,update,update,update,2012.11,34.83,11.99,13.79,4.72,22.35,0.39,7.63,-0.47,2.06,3.99,3.33,3.06,2.68,-0.35,0.1,0.22,-0.13,0.03,2.69,3.43,4.37,7,8.06,9.48,11.93,13.18,14.07,15.17,15.7,16.36,17.54,18.35,19.33,43.38,40.89,47.14,1324,1439,27.85,20.87,24.86,18.3,28.66,21.1,850,637,875,644,3052,3519
0304070006250017_0001,-1391180.032,-210863.5846,467121.9519,3829939.246,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.297045847,61.97288464,30,999,Coco30,PIPO,update,update,update,update,3374,58.41,15.07,12.02,5.7,32.58,0.37,8.21,0.61,2.29,4.74,3.58,3.15,3.19,0.53,0.2,0.21,0.16,0.06,6.44,7.74,8.56,10.06,10.82,11.38,12.3,13.55,14.92,17.26,19.03,21.42,24.74,26.08,27.08,45.43,42.25,49.77,1235,1353,17.36,28.77,16.36,26.92,19.27,31.71,472,782,524,862,2718,3202
0304070006250017_0002,-1391022.968,-210890.7232,467282.5692,3829937.176,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.804243868,61.97288464,30,999,Coco30,PIPO,update,update,update,update,1206,22.34,11.38,12.91,3.1,9.62,0.27,5.2,-0.23,2.12,2.67,2.54,2.34,1.77,-0.1,0.05,0.15,-0.05,0.02,4.75,6.39,7.17,8.32,8.8,9.21,10.38,11.89,12.79,13.45,14.01,14.37,15.14,15.84,17.03,32.05,30.67,33.04,1542,1590,18,12.7,16.7,11.78,18,12.7,866,611,866,611,4811,5184
0304070006250017_0003,-1391004.192,-210504.6621,467239.9948,3830318.122,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.109973957,61.97288464,30,999,Coco30,PIPO,update,update,update,update,1616,31.05,11.44,9.85,3.21,10.31,0.28,4.53,-0.52,2.62,2.63,2.28,2.9,1.81,-0.2,0.14,0.15,-0.11,0.08,3.43,5.27,6.92,8.94,9.51,9.9,10.78,11.69,12.75,13.62,14.05,14.4,15.3,15.85,16.8,38.99,37.22,40.78,939,982,21.76,28.48,19.86,26.34,21.76,28.86,524,686,524,695,2408,2638
0304070006250017_0004,-1391017.082,-210336.1138,467200.4212,3830481.147,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.806198079,61.97288464,30,999,Coco30,PIPO,update,update,update,update,1552,29.51,10.89,9.68,2.08,4.35,0.19,2.97,0.03,2.62,1.71,1.48,1.74,1.18,-9.00E-05,0.1,0.1,-7.60E-05,0.08,6.63,7.61,8.1,9.04,9.44,9.69,10.27,11.01,11.52,12.07,12.41,12.74,13.48,14.25,15.96,40.38,36.99,40.58,1029,1034,21.31,28.45,19.42,25.93,21.31,28.45,543,725,543,725,2548,2795
0304070006250017_0005,-1390836.285,-210345.6628,467381.8677,3830500.003,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.528468525,61.97288464,30,999,Coco30,PIPO,update,update,update,update,610,11.4,10.48,11.95,2.38,5.67,0.22,3.31,-0.53,2.35,1.99,1.68,1.55,1.34,-0.18,0.08,0.12,-0.13,0.06,5.07,6.09,6.84,8.33,8.98,9.23,10.17,11.09,11.56,12.03,12.3,12.65,13.35,13.67,14.16,17.71,17.07,17.75,417,418,10.11,5.81,9.72,5.59,10.11,5.81,238,137,238,137,2354,2448
0304070006250026_0001,-1390899.349,-210113.613,467282.2842,3830717.378,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.9883709,69.6435791,31,999,Coco31,PIPO,update,update,update,update,2199,43.58,10.43,8.54,2.48,6.17,0.23,3.33,0.17,2.77,1.98,1.61,2.08,1.4,0.05,0.17,0.13,0.04,0.12,5.12,6.33,7.44,8.38,8.72,9.06,9.68,10.25,10.93,11.61,12.05,12.5,13.88,15.01,16.21,50.86,45.39,52.69,2445,2533,24.77,40.85,21.45,35.66,24.9,41.39,1191,1964,1197,1990,4807,5580
0304070006250026_0002,-1390667.095,-210167.9164,467522.0432,3830700.439,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.778010204,69.6435791,31,999,Coco31,PIPO,update,update,update,update,1139,23.71,8.43,6.44,2.34,5.47,0.27,3.27,0.23,2.78,1.9,1.69,2.13,1.32,0.05,0.13,0.15,0.04,0.1,3.66,4.79,5.33,6.42,6.66,7,7.69,8.42,9.02,9.6,9.93,10.42,11.49,12.42,14.21,43.12,37.94,44.05,1292,1320,21.99,34.77,18.99,30.38,22.06,35.28,659,1042,661,1057,2996,3479
0304070006250026_0003,-1390874.141,-209953.7267,467282.0003,3830877.865,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.652410077,69.6435791,31,999,Coco31,PIPO,update,update,update,update,973,16.02,12.95,12.43,4.65,21.62,0.35,8.94,0.46,1.86,3.97,2.79,3.47,2.59,0.35,0.03,0.2,0.13,0.01,5.62,7.1,7.77,9,9.38,9.76,10.6,11.75,12.52,17.03,18.32,18.83,19.91,20.84,21.28,20.37,19.76,20.52,720,725,6.9,8.49,6.65,8.17,6.9,8.49,244,300,244,300,3533,3668
0304070006250026_0004,-1390715.69,-209955.9286,467440.0425,3830900.428,"fourFri, P1",Coconino,12.7,0.1,1/10 Acre,0.325044037,69.6435791,31,999,Coco31,PIPO,update,update,update,update,2496,41.8,20.79,24.46,6.34,40.28,0.3,8.89,-0.5,2.24,5.36,4.18,3.85,3.59,-0.47,0.17,0.17,-0.13,0.04,8.13,9.08,11.09,13.83,17,17.98,19.63,22.02,24.14,25.12,25.89,26.39,27.91,29.38,31.07,21.09,24.61,27.65,894,1172,13.68,9.83,14.09,9.11,15.83,10.24,580,417,671,434,4238,4762
