PLOT_ID,X_albers,Y_albers,X_UTM,Y_UTM,Site,Forest,dbhThreshcm,PlotSizeAcres,PlotSize,RandomUniform,fpc,Elev_Class,CC_Class,Stratum,DOM_TYPE,Dom_Type_Label,Secondary_Label,LifeForm,ForestType,TCUFT,STBIOMS,Elev_ave,Elev_mode,Elev_stddev,Elev_variance,Elev_CV,Elev_IQ,Elev_skewness,Elev_kurtosis,Elev_AAD,Elev_MAD_median,Elev_MAD_mode,Elev_L2,Elev_L3,Elev_L4,Elev_LCV,Elev_Lskewness,Elev_Lkurtosis,Elev_P01,Elev_P05,Elev_P10,Elev_P20,Elev_P25,Elev_P30,Elev_P40,Elev_P50,Elev_P60,Elev_P70,Elev_P75,Elev_P80,Elev_P90,Elev_P95,Elev_P99,Pct_first_returns_above_ht,Pct_all_returns_above_ht,all_returns_above_ht_div_Total_first_returns_x_100,First_returns_above_ht,All_returns_above_ht,Pct_first_returns_above_mean,Pct_first_returns_above_mode,pct_all_returns_above_mean,pct_all_returns_above_mode,All_returns_above_mean_div_Total_first_returns_x_100,All_returns_above_mode_div_Total_first_returns_x_100,First_returns_above_mean,First_returns_above_mode,All_returns_above_mean,All_returns_above_mode,Total_first_returns,Total_all_returns
031102Lidar10021_0021,-1341247.901,-233199.6504,520352.0947,3815850.842,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.227375928,8438,2,3,ASP1_23,PIPO,update,update,update,update,2844.69,52.55,8.82,10.91,3.29,10.83,0.37,5.08,-0.14,2.17,2.78,2.52,2.57,1.88,-0.07,0.1,0.21,-0.04,0.05,2.14,3.07,4.22,5.68,6.31,6.84,7.98,9.04,10.13,11.01,11.4,11.86,12.94,13.78,15.44,53.21,45.04,55.69,2596,2717,30.09,18.2,24.45,14.72,30.23,18.2,1468,888,1475,888,4878,6032
031102Lidar10022_0022,-1333341.18,-245145.2035,530109.4575,3805383.131,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.675785831,8438,2,3,ASP1_23,PIPO,update,update,update,update,1704.62,34.13,8.57,10.04,2.63,6.96,0.3,3.4,-0.57,2.81,2.1,1.7,1.8,1.48,-0.18,0.16,0.17,-0.12,0.11,2.21,3.07,4.51,6.44,7.09,7.51,8.19,8.86,9.59,10.21,10.49,10.82,11.73,12.31,13.12,49.68,43.07,51.23,1249,1288,29.55,17.93,24.88,15.08,29.59,17.93,743,451,744,451,2514,2990
031102Lidar10023_0023,-1349762.973,-249510.909,514459.8147,3798549.198,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.775134634,8113,3,3,ASP1_33,PIPO,update,update,update,update,1817,33.81,10.06,10.19,4.41,19.51,0.43,7,-0.02,2.06,3.69,3.49,3.48,2.54,-0.03,0.12,0.25,-0.01,0.04,2.23,2.77,3.67,5.65,6.45,7.35,8.98,10.29,11.38,12.85,13.45,14.23,15.8,17.14,18.7,48.17,41.39,51.47,1385,1480,28.34,27.58,23.18,22.48,28.83,27.96,815,793,829,804,2875,3575
031102Lidar10024_0024,-1348019.402,-245697.8238,515591.3287,3802555.575,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.971382858,8194,2,2,ASP1_22,PIPO,update,update,update,update,1279.82,24.73,10.09,8.79,3.57,12.79,0.35,4.63,-0.13,2.57,2.88,2.37,2.81,2.03,-0.04,0.22,0.2,-0.02,0.11,2.22,3.61,5.08,7.58,8.01,8.38,9.08,9.88,11.03,12.29,12.64,13.17,14.81,15.63,17.57,34.25,31.88,36.39,1057,1123,17.59,23.65,15.64,21.35,17.85,24.36,543,730,551,752,3086,3522
031102Lidar10025_0025,-1348515.528,-249598.2899,515714.8294,3798657.974,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.696687546,8278,3,2,ASP1_32,PIPO,update,update,update,update,2967,50.98,12.78,12.5,2.6,6.76,0.2,3.74,-0.15,3.08,2.09,1.88,1.91,1.46,-0.01,0.15,0.11,-0.01,0.1,6.63,8.95,9.57,10.31,10.85,11.31,12.25,12.85,13.56,14.23,14.59,14.95,16.19,17.15,18.45,34.25,30.9,36.01,1342,1411,18.17,20.16,15.65,17.38,18.24,20.26,712,790,715,794,3918,4566
031102Lidar10026_0026,-1359148.814,-238593.2412,503392.6141,3807779.482,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.884866162,8113,3,3,ASP1_33,PIPO,update,update,update,update,1890,33.86,11.88,11.59,3.36,11.29,0.28,4.25,-0.27,2.86,2.64,2.11,2.18,1.89,-0.1,0.25,0.15,-0.05,0.13,3.57,5.8,7.27,9.21,9.85,10.41,11.42,12.09,12.86,13.67,14.1,14.6,16.07,17.33,18.93,42.95,38.19,46.1,2947,3163,24.19,26.32,20.22,22.03,24.41,26.6,1660,1806,1675,1825,6860,8281
031102Lidar10027_0027,-1365778.097,-225427.9457,494710.5812,3819639.099,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.157390938,8113,3,3,ASP1_33,PIPO,update,update,update,update,2222.67,40.51,10.73,11.05,3.04,9.24,0.28,3.91,0.33,2.95,2.4,1.96,2.03,1.71,0.11,0.22,0.15,0.06,0.13,4.33,6.19,6.99,8.19,8.62,9,9.82,10.58,11.26,12.06,12.53,13.07,14.99,16.41,18.36,62.75,51.92,65.67,1801,1885,30.94,27.97,24.79,22.42,31.35,28.36,888,803,900,814,2870,3630
031102Lidar10028_0028,-1354907.976,-250700.1003,509528.8829,3796582.689,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.541468818,8278,3,2,ASP1_32,PIPO,update,update,update,update,2462,40.05,12.83,13.48,3.31,10.97,0.25,4.84,-0.7,3.28,2.67,2.3,2.28,1.84,-0.24,0.19,0.14,-0.13,0.1,3.11,7.2,8.51,10.08,10.63,11.27,12.4,13.45,14.05,14.97,15.47,15.8,16.64,17.37,18.27,38.29,34.56,40.48,1052,1112,22.71,20.24,19.42,17.31,22.75,20.27,624,556,625,557,2747,3217
031102Lidar10029_0029,-1338038.975,-236666.9851,524093.9269,3812954.975,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.593100112,8194,2,2,ASP1_22,PIPO,update,update,update,update,1599.25,30.63,9.26,5.87,4.25,18.06,0.45,7.45,0.12,1.81,3.69,3.67,3.38,2.44,0.08,-0.003454,0.26,0.03,-0.001411,2.29,2.88,3.75,5.2,5.71,6.08,7.39,8.96,10.45,12.45,13.16,13.59,15.14,15.9,17.36,36.15,33.3,38.07,1864,1963,19.08,28.36,16.98,25.75,19.41,29.44,984,1462,1001,1518,5155,5894
031102Lidar10030_0030,-1360647.989,-240195.9977,502154.6705,3805976.108,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.768370093,8113,3,3,ASP1_33,TEIX,update,update,update,update,4440.08,74.17,11.87,9.24,5.21,27.24,0.43,7.63,0.35,2.69,4.28,3.83,3.79,2.96,0.19,0.24,0.24,0.06,0.08,2.59,3.81,5.17,7.14,8.09,8.75,10.08,11.33,12.87,14.93,15.72,16.62,18.91,20.56,25.57,48.09,43.8,53.06,1036,1143,23.72,33.84,20.39,30.01,24.69,36.35,511,729,532,783,2154,2609
031102Lidar10031_0031,-1368595.259,-235307.8736,493472.5656,3809524.458,"fourFri, P1",Sitgreaves,12.7,0.1,1/10 Acre,0.79472202,8278,3,2,ASP1_32,TEIX,update,update,update,update,3509.14,80.89,14.39,14.69,4.44,19.71,0.3,5.84,-0.37,2.81,3.46,2.77,2.87,2.49,-0.19,0.34,0.17,-0.07,0.13,3.6,5.99,8.23,10.42,11.45,12.56,14.24,14.94,15.49,16.47,17.29,18.18,19.92,21.48,22.95,39.1,39.07,45.48,2720,3164,24.97,23.54,23.03,21.6,26.81,25.14,1737,1638,1865,1749,6956,8097
