PLOT_ID,X_UTM,Y_UTM,Site,Forest,R3ERU,R3ERUCODE,R3ERUSUBCL,R3ERUSUBCO,PROV_SUBCL,SYSTEMTYPE,SOURCE,TEUI_MUS,UID_,SHAPE_AREA,SHAPE_LEN
0304070006700012_0002,454200.8914,3814098.924,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700012_0003,453942.0112,3814299.115,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700012_0004,454099.9894,3814298.499,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700012_0005,454017.8984,3814477.112,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700024_0001,454402.9134,3814095.224,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700024_0002,454285.8582,3814295.746,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700024_0004,454182.2612,3814499.927,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700024_0005,454401.8074,3814499.166,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700024_0006,454305.0955,3814696.447,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700038_0001,453780.8421,3813675.286,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700038_0002,454037.7603,3813777.619,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700038_0003,453860.8032,3813879.406,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700038_0004,454056.0559,3813921.821,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006700038_0005,453876.4917,3814098.789,"fourFri, P1",Coconino,Ponderosa Pine ?혀 Evergreen Oak,PPE,n/a,n/a,n/a,forest,COC_TEUI,572,261048,3019690.891,15293.38812
0304070006990028_0002,461440.5078,3806919.118,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263974,1108776.519,8761.319843
0304070006990028_0003,461622.2887,3806886.694,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263974,1108776.519,8761.319843
0304070006990029_0001,461197.5931,3806521.617,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263974,1108776.519,8761.319843
0304070006990029_0002,461400.4535,3806524.589,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263974,1108776.519,8761.319843
0304070006990029_0003,461276.5508,3806675.116,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263974,1108776.519,8761.319843
0304070006990029_0004,461238.9563,3806880.639,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263974,1108776.519,8761.319843
0304070006990029_0005,461297.8559,3807039.701,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263974,1108776.519,8761.319843
0304070006850012_0001,456724.9511,3808286.083,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263976,152884.2425,4116.17055
0304070006850022_0003,456699.8475,3809014.896,"fourFri, P1",Coconino,Ponderosa Pine Forest,PPF,Ponderosa Pine / Gambel Oak,PPO,n/a,forest,COC_TEUI,550,263977,180167.9965,2422.75121
